Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet_div_2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf_div_2tf,b_div_t,b_div_tdes,h_div_tw,h_div_tdes,D_div_t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan_,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
2L,2L3-1/2X3X5/16X3/8LLBB,2L3-1/2X3X5/16X3/8LLBB,F,13.2,3.9,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,0.313,NaN,NaN,NaN,NaN,NaN,NaN,1.05,NaN,NaN,0.38,NaN,11.2,NaN,NaN,NaN,NaN,4.66,3.44,1.9,1.09,6.9,3.84,2.16,1.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.94,0.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3-1/2X3X5/16X3/4LLBB,2L3-1/2X3X5/16X3/4LLBB,F,13.2,3.9,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,0.313,NaN,NaN,NaN,NaN,NaN,NaN,1.05,NaN,NaN,0.38,NaN,11.2,NaN,NaN,NaN,NaN,4.66,3.44,1.9,1.09,8.54,4.57,2.53,1.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.04,0.811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3-1/2X3X1/4LLBB,2L3-1/2X3X1/4LLBB,F,10.8,3.16,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,0.25,NaN,NaN,NaN,NaN,NaN,NaN,1.02,NaN,NaN,0.34,NaN,14,NaN,NaN,NaN,NaN,3.84,2.78,1.55,1.1,4.47,2.44,1.49,1.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.85,0.767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3-1/2X3X1/4X3/8LLBB,2L3-1/2X3X1/4X3/8LLBB,F,10.8,3.16,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,0.25,NaN,NaN,NaN,NaN,NaN,NaN,1.02,NaN,NaN,0.34,NaN,14,NaN,NaN,NaN,NaN,3.84,2.78,1.55,1.1,5.51,3.04,1.73,1.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.94,0.787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3-1/2X3X1/4X3/4LLBB,2L3-1/2X3X1/4X3/4LLBB,F,10.8,3.16,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,0.25,NaN,NaN,NaN,NaN,NaN,NaN,1.02,NaN,NaN,0.34,NaN,14,NaN,NaN,NaN,NaN,3.84,2.78,1.55,1.1,6.74,3.63,2,1.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.04,0.807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3-1/2X2-1/2X1/2LLBB,2L3-1/2X2-1/2X1/2LLBB,F,18.8,5.54,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,1.2,NaN,NaN,0.73,NaN,7,NaN,NaN,NaN,NaN,6.48,5.04,2.82,1.08,5.45,3.88,2.18,0.992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.75,0.706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3-1/2X2-1/2X1/2X3/8LLBB,2L3-1/2X2-1/2X1/2X3/8LLBB,F,18.8,5.54,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,1.2,NaN,NaN,0.73,NaN,7,NaN,NaN,NaN,NaN,6.48,5.04,2.82,1.08,7.07,4.92,2.63,1.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.83,0.732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3-1/2X2-1/2X1/2X3/4LLBB,2L3-1/2X2-1/2X1/2X3/4LLBB,F,18.8,5.54,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,1.2,NaN,NaN,0.73,NaN,7,NaN,NaN,NaN,NaN,6.48,5.04,2.82,1.08,9.08,5.96,3.16,1.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.93,0.759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3-1/2X2-1/2X3/8LLBB,2L3-1/2X2-1/2X3/8LLBB,F,14.4,4.24,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,0.375,NaN,NaN,NaN,NaN,NaN,NaN,1.15,NaN,NaN,0.673,NaN,9.33,NaN,NaN,NaN,NaN,5.12,3.92,2.18,1.1,3.99,2.78,1.6,0.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.75,0.698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3-1/2X2-1/2X3/8X3/8LLBB,2L3-1/2X2-1/2X3/8X3/8LLBB,F,14.4,4.24,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,0.375,NaN,NaN,NaN,NaN,NaN,NaN,1.15,NaN,NaN,0.673,NaN,9.33,NaN,NaN,NaN,NaN,5.12,3.92,2.18,1.1,5.22,3.57,1.94,1.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.83,0.724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
